grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_AR,X_N2
0,3.20409754,300,3.35747941,0.295857988,1.00869214e-16,7.43083565e-17,0.147928994,-2.53779963e-16,-3.20378206e-19,1.27480112e-16,1.26419019e-16,0.556213018,-7.61374924e-20
0.003,3.20409754,300,3.35747941,0.295857988,-4.63399445e-21,6.23853191e-17,0.147928994,-1.91751956e-18,-2.40493388e-16,-3.99227629e-18,1.28286471e-16,0.556213018,-1.39948768e-19
0.006,3.20409754,300,3.35747941,0.295857988,7.60807689e-22,5.30920165e-17,0.147928994,6.32308084e-20,-2.31152504e-16,1.5535613e-17,1.30002264e-16,0.556213018,3.37415558e-19
0.0075,3.20409754,300,3.35747941,0.295857988,7.82944654e-22,4.88412672e-17,0.147928994,7.31197802e-20,-2.25910424e-16,2.57899506e-17,1.30695105e-16,0.556213018,5.7434708e-19
0.00825,3.20409754,300,3.35747941,0.295857988,-4.13708481e-22,4.52282778e-17,0.147928994,1.82973656e-20,-2.26189058e-16,2.21477495e-17,1.29966241e-16,0.556213018,-3.55935312e-19
0.009,3.20409754,300,3.35747941,0.295857988,1.31737528e-21,4.42371441e-17,0.147928994,9.17678619e-20,-2.22321206e-16,3.16133062e-17,1.307961e-16,0.556213018,3.3428961e-19
0.009375,3.20409754,300,3.35747941,0.295857988,4.71572238e-21,4.60144702e-17,0.147928994,2.39093346e-19,-2.16512427e-16,4.84819065e-17,1.32678058e-16,0.556213018,2.16746621e-18
0.00975,3.20409754,300,3.35747941,0.295857988,-1.0247201e-20,3.74461362e-17,0.147928994,-3.96047826e-19,-2.27953275e-16,1.0751429e-17,1.278905e-16,0.556213018,-2.73254074e-18
0.0099375,3.20409754,300,3.35747941,0.295857988,3.37675683e-21,3.92115831e-17,0.147928994,1.29263175e-19,-2.22666997e-16,1.75387616e-17,1.28657214e-16,0.556213018,-1.97946925e-18
0.01003125,3.20409754,300,3.35747941,0.295857988,4.06454609e-21,5.72486572e-17,0.147928994,2.02613953e-19,-1.41545893e-16,2.65973169e-17,1.29305322e-16,0.556213018,-1.7462319e-18
0.010125,3.20409753,300,3.35747942,0.295857986,-1.90097916e-20,4.69832259e-16,0.147928995,-5.5135148e-20,2.45195222e-15,2.45048961e-16,1.41388177e-16,0.55621302,-4.37488495e-18
0.01021875,3.20409743,300.000001,3.35747953,0.29585796,3.83502717e-19,1.01642068e-14,0.147929,4.20916554e-17,8.6568658e-14,8.80808336e-15,6.92117897e-16,0.55621304,1.07216389e-17
0.010265625,3.20409699,300.000006,3.35747999,0.295857842,6.27197644e-18,9.55772821e-14,0.147929025,1.15179948e-15,1.11660035e-12,1.21916356e-13,8.09194405e-15,0.556213133,6.63046251e-18
0.0103125,3.2040943,300.00006,3.35748281,0.295857068,1.93664164e-16,1.12743734e-12,0.147929187,3.76651005e-14,1.82770114e-11,2.183306e-12,1.46957288e-13,0.556213745,7.86275805e-19
0.010359375,3.20407906,300.000633,3.35749877,0.295852004,6.49171978e-15,1.35916299e-11,0.147930247,1.29393091e-12,3.03594217e-10,3.91752359e-11,2.75171674e-12,0.556217749,7.01888519e-19
0.0103828125,3.20404904,300.002978,3.35753023,0.295838947,8.9712946e-14,7.16088546e-11,0.147932981,1.79332193e-11,2.11038433e-09,2.84527511e-10,2.13985989e-11,0.55622807,1.12522655e-17
0.01040625,3.20398638,300.016551,3.3575959,0.295789711,1.13867298e-12,4.50608674e-10,0.147943285,2.28087527e-10,1.79562184e-08,2.52958456e-09,2.05600964e-10,0.556266982,-5.97608026e-18
0.0104179687,3.20399964,300.047706,3.35758201,0.295713937,6.31743677e-12,1.42638278e-09,0.147959129,1.25437964e-09,7.18412378e-08,1.02977361e-08,9.10934929e-10,0.556326848,3.21122998e-17
0.0104296875,3.20436709,300.153442,3.35719699,0.295533206,3.4965569e-11,5.09951109e-09,0.147996851,6.9230905e-09,3.34668151e-07,4.94327824e-08,4.74659145e-09,0.556469543,-3.08782903e-17
0.0104414063,3.20638272,300.512268,3.35508657,0.295102299,1.95415157e-10,1.89265496e-08,0.148086445,3.82426815e-08,1.61439426e-06,2.45159167e-07,2.5590412e-08,0.556809314,-7.3213132e-17
